id,County,Sub-County,Ward
,Bomet,Bomet Central,Silibwet Township
,Bomet,Bomet East,Kipreres
,Bomet,Bomet East,Longisa
,Bomet,Bomet East,Merigi
,Bomet,Chepalungu,Chebunyo
,Bomet,Chepalungu,Kong'Asis
,Bomet,Chepalungu,Nyangores
,Bomet,Chepalungu,Sigor
,Bomet,Chepalungu,Siongiroi
,Narok,Emurua Dikirr,Kapsasian
,Narok,Kilgoris,Kimintet
,Narok,Narok West,Mara
,Bomet,Konoin,Embomos
,Nakuru,Kuresoi South,Amalo
,Nakuru,Kuresoi South,Keringet
,Nakuru,Kuresoi South,Kiptagich
,Nakuru,Kuresoi South,Tinet
,Nakuru,Molo,Mariashoni
,Narok,Narok North,Olokurto
,Narok,Narok North,Olpusimoru
,Narok,Narok South,Sagamian
,Narok,Narok South,Sogoo
,Narok,Emurua Dikirr,Ilkerin
,Narok,Emurua Dikirr,Mogondo
,Narok,Kilgoris,Angata Barikoi
,Narok,Narok West,Siana
,Bomet,Bomet Central,Ndaraweta
,Bomet,Bomet Central,Singorwet
,Bomet,Bomet East,Chemaner
,Bomet,Bomet East,Kembu
,Narok,Narok South,Melelo
,Narok,Narok South,Ololulung'A
,Narok,Narok West,Ilmotiok
,Narok,Narok South,Loita
,Narok,Narok South,Majimoto/Naroosura
,Narok,Narok West,Naikarra
