id,County,Sub-County,Ward
,Bungoma,Bumula,Bumula
,Bungoma,Bumula,Kabula
,Bungoma,Bumula,Khasoko
,Bungoma,Bumula,Kimaeti
,Bungoma,Bumula,Siboti
,Bungoma,Bumula,South Bukusu
,Bungoma,Bumula,West Bukusu
,Bungoma,Kanduyi,Marakaru/Tuuti
,Bungoma,Kanduyi,Musikoma
,Bungoma,Kanduyi,Township
,Busia,Nambale,Bukhayo Central
,Busia,Nambale,Bukhayo East
,Busia,Nambale,Bukhayo North/Waltsi
,Kakamega,Matungu,Kholera
,Kakamega,Matungu,Namamali
,Busia,Butula,Elugulu
,Busia,Butula,Marachi Central
,Busia,Butula,Marachi North
,Busia,Matayos,Busibwabo
,Busia,Matayos,Matayos South
,Busia,Nambale,Nambale Township
,Busia,Teso South,Amukura Central
,Busia,Teso South,Amukura East
,Kakamega,Matungu,Koyonzo
,Busia,Butula,Kingandole
,Busia,Butula,Marachi West
,Busia,Funyula,Namboboto Nambuku
,Busia,Funyula,Nangina
,Busia,Matayos,Bukhayo West
,Busia,Matayos,Burumba
,Busia,Matayos,Mayenje
,Busia,Budalangi,Bunyala North
,Busia,Budalangi,Bunyala West
,Busia,Funyula,Bwiri
,Busia,Funyula,Ageng'A Nanguba
,Busia,Butula,Marachi East
,Kakamega,Matungu,Mayoni
